"Código","Nombre","Categoria","Unid / Frac.","Stock Actual","Stock Minimo","Costo","Precio","Valor Stock Actual","Valor Stock Custo","Valor vendido","Cantidad Vendida","Ganancia"
"TOP138","Top basico   ","BLUSAS/TOPS/CHALECOS","unidad","5",0,"6,5","17","85","32,5","32,3","2","19,3"
"TOP139","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","10",0,"6,5","17","170","65","102","6","63"
"TOP140","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","3",0,"6,5","17","51","19,5","136","8","84"
"TOP141","Top basico","BLUSAS/TOPS/CHALECOS","unidad","2",0,"6,5","17","34","13","51","3","31,5"
"TOP142","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","1",0,"6,5","17","17","6,5","102","6","63"
"TOP143","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","1",0,"6,5","17","17","6,5","34","2","21"
"TOP144ALGODON","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","1",0,"6,5","17","17","6,5","102","6","63"
"TOP145","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","4",0,"6,5","17","68","26","51","3","31,5"
"TOP146","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"6,5","17","0","0","253,3","15","155,8"
"TOP147","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"6,5","17","0","0","85","5","52,5"
"TOP148","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"6,5","17","0","0","83,3","5","50,8"
"TOP149","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"6,5","17","0","0","100,3","6","61,3"
"TOP150ALGODON","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","1",0,"6,5","17","17","6,5","85","5","52,5"
"TOP151ALGODON","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","1",0,"6,5","17","17","6,5","68","4","42"
"TOP152","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","3",0,"6,5","17","51","19,5","83,3","5","50,8"
"TOP153","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","11",0,"6,5","17","187","71,5","102","6","63"
"ZAPATOS22","New balance 9060","ZAPATOS","unidad","5",0,"32","65","325","160","513,5","8","257,5"
"7453119116279","Jeans ancho","JEANS","unidad","3",0,"15,6","28","84","46,8","268,8","10","107,2"
"7450214132784","Jeans palazzo de brillos","JEANS","unidad","5",0,"17,5","39","195","87,5","663","17","365,5"
"7450214132821","Jeans palazzo de brillos","JEANS","unidad","0",0,"17,5","39","0","0","507","13","279,5"
"TOP154","Top negro","BLUSAS/TOPS/CHALECOS","unidad","2",0,"8","19","38","16","214","12","125"
"TOP155","Top basico   ","BLUSAS/TOPS/CHALECOS","unidad","2",0,"9","18","36","18","162","9","81"
"TOP156","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","7",0,"7","17","119","49","51","3","30"
"TOP157","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","2",0,"7","17","34","14","68","4","40"
"7453130348512","Jeans palazzo","JEANS","unidad","4",0,"18","32","128","72","320","10","140"
"7453136305687","Bermuda denim","JEANS","unidad","2",0,"9,7","25","50","19,4","605","20","226,5"
"7453130348482","Jeans palazzo ","JEANS","unidad","1",0,"20","32","32","20","768","24","288"
"7453130348536","Jeans palazzo ","JEANS","unidad","0",0,"20","32","0","0","256","8","96"
"7292BEIGE","Vestido largo","VESTIDOS","unidad","2",0,"13,5","25","50","27","50","2","23"
"7292NEGRO","Vestido largo ","VESTIDOS","unidad","2",0,"13,5","25","50","27","50","2","23"
"7292CREMA","Vestido largo  ","VESTIDOS","unidad","2",0,"13,5","25","50","27","50","2","23"
"ZAPATOS23","On cloud ","ZAPATOS","unidad","3",0,"32","65","195","96","1.300","20","660"
"1350VINO","Set de chaleco y pantalon ","SETS","unidad","3",0,"14","27","81","42",0,0,0
"1350MARRON","Set de chaleco y pantalon ","SETS","unidad","0",0,"14","27","0","0","108","4","52"
"1350NEGRO","Set de chaleco y pantalon  ","SETS","unidad","0",0,"14","27","0","0","54","2","26"
"1350VINO","Set de chaleco y pantalon   ","SETS","unidad","0",0,"14","27","0","0","81","3","39"
"ZAPATOS25","On cloud  ","ZAPATOS","unidad","12",0,"32","65","780","384","318,5","5","158,5"
"ZAPATOS24","On cloud   ","ZAPATOS","unidad","5",0,"32","65","325","160","578,5","9","290,5"
"3415BLANCO","Set de chaqueta y pantalon  ","SETS","unidad","1",0,"14,5","30","30","14,5","90","3","46,5"
"3415BEIGE","Set de chaqueta y pantalon  ","SETS","unidad","0",0,"14,5","30","0","0","90","3","46,5"
"3415NEGRO","Set de chaqueta y pantalon ","SETS","unidad","0",0,"14,5","30","0","0","120","4","62"
"5223CREMA","Set de blusa y pantalon ","SETS","unidad","0",0,"15","27","0","0","135","5","60"
"5223BEIGE","Set de blusa y pantalon  ","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"5223AZUL","Set de blusa y pantalon   ","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"2692NEGRO","Set de blusa y pantalon  ","SETS","unidad","1",0,"10,5","27","27","10,5","108","4","66"
"2692GRIS","Set de blusa y pantalon  ","SETS","unidad","1",0,"10,5","27","27","10,5","54","2","33"
"2692CELESGE","Set de blusa y pantalon  ","SETS","unidad","0",0,"10,5","27","0","0","108","4","66"
"2692CREMA","Set de blusa y pantalon ","SETS","unidad","2",0,"10,5","27","54","21","81","3","49,5"
"3408GRIS","Set de blusa y pantalon  ","SETS","unidad","0",0,"13,5","28","0","0","112","4","58"
"3408VERDE","Set de blusa y pantalon  ","SETS","unidad","0",0,"13,5","28","0","0","56","2","29"
"3408BLANCO","Set de blusa y pantalon ","SETS","unidad","0",0,"13,5","28","0","0","28","1","14,5"
"3408NEGRO","Set de blusa y pantalon  ","SETS","unidad","0",0,"13,5","28","0","0","140","5","72,5"
"201NEGRO","Set de chaqueta y jogger ","SETS","unidad","0",0,"23","35","0","0","210","6","72"
"201CELESTE","Set de chaqueta y jogger ","SETS","unidad","1",0,"23","35","35","23","70","2","24"
"201CHOCOLATE","Set de chaqueta y jogger  ","SETS","unidad","0",0,"23","35","0","0","210","6","72"
"101BEIGE","Set de sweater y pantalon","SETS","unidad","4",0,"22,7","36","144","90,8","144","4","53,2"
"11SCAMEL","Set de camisa y pantalon","SETS","unidad","0",0,"23","32","0","0","192","6","63,9"
"11SMARRON","Set de camisa y pantalon","SETS","unidad","0",0,"19,7","32","0","0","224","7","86,1"
"11SCELESTE","Set de camisa y pantalon","SETS","unidad","0",0,"19,7","32","0","0","224","7","86,1"
"101NEGRO","Set de sweater y pantalon","SETS","unidad","2",0,"22,7","36","72","45,4","216","6","79,8"
"101CELESTE","Set de sweater y pantalon","SETS","unidad","2",0,"22,7","36","72","45,4","108","3","39,9"
"1SNEGRO","Set de top y pantalon","SETS","unidad","3",0,"11,45","25","75","34,349","100","4","54,2"
